epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.841,1.47344,1.87324,1.81151,1.23811,0.471,0.59715,0.4616,0.22685,0.44655,0.55734,0.40218,0.11802,1.74325,1.40282,2.09027,1.29441,0.000663805,0.000663805,0.000663805
2,706.577,1.35534,1.59614,1.34082,1.1694,0.42527,0.47791,0.37903,0.18517,0.27741,0.3494,0.20009,0.04877,1.77248,1.5102,1.95739,1.3463,0.000891416,0.000891416,0.000891416
3,1051.4,1.22895,1.55415,1.20662,1.13639,0.73201,0.59036,0.63649,0.38363,0.66038,0.56225,0.54017,0.17528,1.46871,1.28617,1.49761,1.14352,0.000679027,0.000679027,0.000679027
