Timestamp,Pos_X,Pos_Y,Target_X,Target_Y,IR_Detected,Vision_Detected,High_Threat,Blocked_WP,Current_Waypoint_Index
0.34,-0.12,-0.032,0.0,0.0,0,0,0,0,0
0.37,-0.12,-0.032,0.0,0.0,0,0,0,0,0
0.4,-0.119,-0.032,0.0,0.0,0,0,0,0,0
0.44,-0.119,-0.032,0.0,0.0,0,0,0,0,0
0.47,-0.118,-0.032,0.0,0.0,0,0,0,0,0
0.5,-0.117,-0.032,0.0,0.0,0,0,0,0,0
0.53,-0.117,-0.031,0.0,0.0,0,0,0,0,0
0.57,-0.116,-0.031,0.0,0.0,0,0,0,0,0
0.6,-0.115,-0.031,0.0,0.0,0,0,0,0,0
0.64,-0.114,-0.031,0.0,0.0,0,0,0,0,0
0.67,-0.114,-0.031,0.0,0.0,0,0,0,0,0
0.7,-0.113,-0.03,0.0,0.0,0,0,0,0,0
0.73,-0.112,-0.03,0.0,0.0,0,0,0,0,0
0.76,-0.111,-0.03,0.0,0.0,0,0,0,0,0
0.79,-0.11,-0.029,0.0,0.0,0,0,0,0,0
0.83,-0.109,-0.029,0.0,0.0,0,0,0,0,0
0.86,-0.108,-0.029,0.0,0.0,0,0,0,0,0
0.89,-0.107,-0.029,0.0,0.0,0,0,0,0,0
0.93,-0.106,-0.028,0.0,0.0,0,0,0,0,0
0.96,-0.104,-0.028,0.0,0.0,0,0,0,0,0
0.99,-0.103,-0.028,0.0,0.0,0,0,0,0,0
1.03,-0.102,-0.027,0.0,0.0,0,0,0,0,0
1.06,-0.101,-0.027,0.0,0.0,0,0,0,0,0
1.09,-0.099,-0.026,0.0,0.0,0,0,0,0,0
1.12,-0.098,-0.026,0.0,0.0,0,0,0,0,0
1.15,-0.096,-0.026,0.0,0.0,0,0,0,0,0
1.19,-0.095,-0.025,0.0,0.0,0,0,0,0,0
1.22,-0.093,-0.025,0.0,0.0,0,0,0,0,0
1.25,-0.092,-0.024,0.0,0.0,0,0,0,0,0
1.29,-0.09,-0.024,0.0,0.0,0,0,0,0,0
1.32,-0.089,-0.023,0.0,0.0,0,0,0,0,0
1.35,-0.087,-0.023,0.0,0.0,0,0,0,0,0
1.38,-0.085,-0.022,0.0,0.0,0,0,0,0,0
1.41,-0.084,-0.022,0.0,0.0,0,0,0,0,0
1.45,-0.082,-0.021,0.0,0.0,0,0,0,0,0
1.48,-0.08,-0.021,0.0,0.0,0,0,0,0,0
1.51,-0.078,-0.02,0.0,0.0,0,0,0,0,0
1.55,-0.076,-0.02,0.0,0.0,0,0,0,0,0
1.58,-0.075,-0.019,0.0,0.0,0,0,0,0,0
1.61,-0.073,-0.019,0.0,0.0,0,0,0,0,0
1.64,-0.071,-0.018,0.0,0.0,0,0,0,0,0
1.67,-0.069,-0.018,0.0,0.0,0,0,0,0,0
1.71,-0.067,-0.017,0.0,0.0,0,0,0,0,0
1.74,-0.066,-0.017,0.0,0.0,0,0,0,0,0
1.77,-0.064,-0.016,0.0,0.0,0,0,0,0,0
1.8,-0.062,-0.016,0.0,0.0,0,0,0,0,0
1.84,-0.06,-0.015,0.0,0.0,0,0,0,0,0
1.87,-0.058,-0.015,0.0,0.0,0,0,0,0,0
1.9,-0.056,-0.014,0.0,0.0,0,0,0,0,0
1.93,-0.055,-0.014,0.0,0.0,0,0,0,0,0
1.97,-0.053,-0.013,0.0,0.0,0,0,0,0,0
2.0,-0.051,-0.013,0.0,0.0,0,0,0,0,0
2.03,-0.049,-0.012,0.0,0.0,0,0,0,0,0
2.1,-0.045,-0.011,0.1,0.0,0,0,0,0,1
2.13,-0.044,-0.011,0.1,0.0,0,0,0,0,1
2.17,-0.042,-0.01,0.1,0.0,0,0,0,0,1
2.2,-0.04,-0.01,0.1,0.0,0,0,0,0,1
2.23,-0.038,-0.009,0.1,0.0,0,0,0,0,1
2.26,-0.037,-0.009,0.1,0.0,0,0,0,0,1
2.29,-0.035,-0.008,0.1,0.0,0,0,0,0,1
2.32,-0.033,-0.008,0.1,0.0,0,0,0,0,1
